Node,X,Y,Demand
0,90,5,55
1,148,132,29
2,173,33,53
3,59,130,57
4,52,9,88
5,9,89,31
6,101,121,31
7,84,118,38
8,11,39,65
9,125,97,71
10,8,47,31
11,93,186,43
12,151,122,22
13,86,164,63
14,78,85,75
15,167,134,40
16,95,53,28
17,102,79,25
18,104,99,53
19,116,136,51
20,33,9,0
21,52,65,27
22,116,81,52
23,21,79,64
24,185,113,82
25,182,104,69
26,59,83,62
27,15,8,28
28,125,17,30
29,154,10,33
30,158,182,32
31,118,63,21
32,164,84,28
33,62,70,64
34,64,164,22
35,38,170,0
36,104,45,34
37,156,153,0
38,25,6,24
39,33,42,38
40,122,174,42
41,123,119,73
42,116,12,16
43,30,126,55
44,100,92,45
45,141,61,0
46,60,116,26
47,77,170,31
48,67,153,31
49,107,177,51
